num_samples,duration,num_epochs,loss,val_loss,num_layers,cell_type,activation,hidden_dimension,learning_rate,gradient_clipping_value,optimizer,loss_history_filename,model_filename,reverse_sequence,notes
200775,6:41:35h,29,1.7404225285182986,-1,2,gru,tanh,1024,0.0001,5.0,adam,./loss_logs/2018-05-04_09:49:32.csv,./trained_models/2018-05-04_09:49:32-2018-05-04_16:31:07.h5,False,
200775,2:58:09h,29,2.953462605386724,-1,1,gru,tanh,512,0.0001,5.0,adam,./loss_logs/2018-05-09_17:39:11.csv,./trained_models/2018-05-09_17:39:11-2018-05-09_20:37:21.h5,False,
200775,8:11:34h,50,1.4810305310162524,-1,1,gru,tanh,1024,0.0001,5.0,adam,./loss_logs/2018-05-10_09:56:42.csv,./trained_models/2018-05-10_09:56:42-2018-05-10_18:08:17.h5,False,
200775,0:10:56h,1,5.031448554505804,-1,1,gru,tanh,512,0.0001,5.0,adam,./loss_logs/2018-06-19_15-15-24.csv,./trained_models/2018-06-19_15-15-24-2018-06-19_15-26-20.h5,False, k=3, Bahdanau attention
200775,0:36:05h,5,4.192412987106868,4.140798881823171,1,gru,tanh,512,0.0001,5.0,adam,./loss_logs/2018-06-20_11-06-43.csv,./trained_models/2018-06-20_11-06-43-2018-06-20_11-42-49.h5,False,
200775,1:11:31h,10,3.9636364949950393,3.9768016947056344,1,gru,tanh,512,0.0001,5.0,adam,./loss_logs/2018-06-20_12-37-38.csv,./trained_models/2018-06-20_12-37-38-2018-06-20_13-49-10.h5,False,
200775,1:46:19h,15,3.7187253526251336,3.883421925170149,1,gru,tanh,512,0.0001,5.0,adam,./loss_logs/2018-06-20_16-03-44.csv,./trained_models/2018-06-20_16-03-44-2018-06-20_17-50-04.h5,False,
200775,2:12:46h,20,3.585716340307607,3.8373791194392113,1,gru,tanh,512,0.0001,5.0,adam,./loss_logs/2018-06-20_17-56-06.csv,./trained_models/2018-06-20_17-56-06-2018-06-20_20-08-52.h5,False,
200775,3:31:10h,30,3.4180000811225226,3.8339717974882563,1,gru,tanh,512,0.0001,5.0,adam,./loss_logs/2018-06-21_10-56-15.csv,./trained_models/2018-06-21_10-56-15-2018-06-21_14-27-25.h5,False,
200775,5:40:25h,50,3.1469522541686437,3.93953046736593,1,gru,tanh,512,0.0001,5.0,adam,./loss_logs/2018-06-21_16-21-14.csv,./trained_models/2018-06-21_16-21-14-2018-06-21_22-01-40.h5,False,
200775,18:37:32h,50,0.18837449719178218,7.286305555599725,2,gru,tanh,1024,0.0001,5.0,adam,./loss_logs/2018-06-22_14-16-02.csv,./trained_models/2018-06-22_14-16-02-2018-06-23_08-53-35.h5,False,
200775,10:10:04h,27,1.0647620913353317,5.172195285594535,2,gru,tanh,1024,0.0001,5.0,adam,./loss_logs/2018-07-02_12-34-45.csv,./trained_models/2018-07-02_12-34-45-2018-07-02_22-44-50.h5,False,
200775,8:22:33h,22,1.5139503505544338,4.579971986065408,2,gru,tanh,1024,0.0001,5.0,adam,./loss_logs/2018-07-03_12-20-27.csv,./trained_models/2018-07-03_12-20-27-2018-07-03_20-43-00.h5,False,
200775,10:05:37h,27,2.0240613790485247,4.061411784884925,2,gru,tanh,1024,0.0001,5.0,adam,./loss_logs/2018-07-04_01-30-32.csv,./trained_models/2018-07-04_01-30-32-2018-07-04_11-36-10.h5,False,
200775,12:42:28h,35,1.937381300105652,-1,2,gru,tanh,1024,0.0001,5.0,adam,./loss_logs/2018-07-04_13-45-35.csv,./trained_models/2018-07-04_13-45-35-2018-07-05_02-28-03.h5,False,
200775,8:05:26h,50,1.6507643043557017,4.738153244259363,1,gru,tanh,1024,0.0001,5.0,adam,./loss_logs/2018-07-05_11-58-28.csv,./trained_models/2018-07-05_11-58-28-2018-07-05_20-03-55.h5,False,
200775,11:31:46h,50,0.9843649424097634,-1,2,gru,tanh,1024,0.0001,5.0,adam,./loss_logs/2018-07-07_09-02-55.csv,./trained_models/2018-07-07_09-02-55-2018-07-07_20-34-41.h5,False,
